source	target
AY.102	AY.102.1
AY.102	AY.102.2
AY.103	AY.103.1
AY.103	AY.103.2
AY.112	AY.112.1
AY.115	AY.116
AY.119	AY.119.1
AY.119	AY.119.2
AY.12	AY.121.1
AY.122	AY.122.2
AY.122	AY.122.3
AY.122	AY.122.4
AY.122	AY.122.5
AY.124	AY.124.1
AY.20	AY.20.1
AY.23	AY.23.2
AY.24	AY.24.1
AY.25	AY.25.1
AY.25	AY.25.1.1
AY.25	AY.25.1.2
AY.25	AY.25.2
AY.25	AY.25.3
AY.26	AY.26.1
AY.3	AY.3.2
AY.3	AY.3.3
AY.3	AY.3.4
AY.33	AY.33.1
AY.34	AY.34.1
AY.34	AY.34.2
AY.36	AY.36.1
AY.39	AY.39.3
AY.39.1	AY.39.1.2
AY.39.1	AY.39.1.3
AY.4	AY.4.10
AY.4	AY.4.11
AY.4	AY.4.12
AY.4	AY.4.13
AY.4	AY.4.14
AY.4	AY.4.15
AY.4	AY.4.16
AY.4	AY.4.17
AY.4	AY.4.6
AY.4	AY.4.7
AY.4	AY.4.8
AY.4	AY.4.9
AY.4.2	AY.4.2.1
AY.4.2	AY.4.2.2
AY.4.2	AY.4.2.3
AY.4.2	AY.4.2.4
AY.42	AY.42.1
AY.43	AY.43.1
AY.43	AY.43.2
AY.43	AY.43.3
AY.43	AY.43.4
AY.43	AY.43.5
AY.43	AY.43.6
AY.43	AY.43.7
AY.43	AY.43.8
AY.46.6	AY.46.6.1
AY.5	AY.5.6
AY.75	AY.75.2
AY.75	AY.75.3
AY.75.1	AY.75
AY.75.1	AY.75.2
AY.75.1	AY.75.3
AY.89	AY.4
AY.9.1	AY.9.2
AY.9.2	AY.9.2.2
AY.96	AY.46
AY.96	AY.46.2
AY.96	AY.46.6
AY.96	B.1.617.2
AY.97	AY.5.5
B.1	B.1.639
B.1	B.1.640
B.1	B.1.640.1
B.1	B.1.640.2
B.1.177.79	B.1.177.60
B.1.617.2	AY.112
B.1.617.2	AY.121
B.1.617.2	AY.121.1
B.1.617.2	AY.122
B.1.617.2	AY.123
B.1.617.2	AY.123.1
B.1.617.2	AY.124
B.1.617.2	AY.124.1
B.1.617.2	AY.124.1.1
B.1.617.2	AY.125
B.1.617.2	AY.125.1
B.1.617.2	AY.126
B.1.617.2	AY.127
B.1.617.2	AY.127.1
B.1.617.2	AY.127.2
B.1.617.2	AY.128
B.1.617.2	AY.129
B.1.617.2	AY.130
B.1.617.2	AY.131
B.1.617.2	AY.132
B.1.617.2	AY.133
B.1.621	B.1.621.2
B.1.621.1	BB.2
B.1.628	XB
B.1.637	B.1.637.1
P.1.12	P.1.12.1
P.1.7	P.1.7.1
